Summary: {Weight} {token}: {words[0:10]}
0.0009160    5 calendar       : 歳破, 歳刑, 弥生, 太歳, 小春
0.0009137    3 dorm           : 寮監, 寮父, 寮母
0.0009132    9 petty          : 下僚, 貧小, 小策, 小官, 小吏, 小節, 群小, 卑小, 小さい
0.0009084    1 behave         : 神懸かる
0.0009076    1 woe            : 休戚
0.0009064   10 application    : 専願, 出願, 願意, 願い出る, 願い出, 願, 願い, 単願, 志願, 願書
0.0009025    7 work           : 捗る, 穢多, 手懸ける, 原著, 原作, 小品, 小説
0.0008976    1 steak          : 青椒肉絲
0.0008887    2 instant        : 秒殺, 秒速
0.0008875    1 comrade        : 僚友
0.0008860    6 dirty          : 穢い, 穢らわしい, 卑劣, 鄙劣, 穢す, 小汚い
0.0008844    4 nickname       : 戯称, 高砂, 通称, 愛称
0.0008832    6 food           : 油炒め, 炒め煮, 口寂しい, 炒め物, 食べ歩く, 食べ歩き
0.0008799    1 restraint      : 婆娑羅
0.0008778    7 narrow         : 眇める, 僅少, 狭小, わい小, 矮小, 小差, 小幅
0.0008753    7 care           : 治療, 診療, 医療, 心懸け, ひとり歩き, 一人歩き, 独り歩き
0.0008734   37 original       : 原綴, 原曲, 本願, 原像, 原句, 原書, 原郷, 原案, 原本, 原版, ...
0.0008655    2 remedy         : 療法, 治療
0.0008617    9 gait           : 歩様, 駆歩, 常歩, 歩容, 歩法, 襲歩, 速歩, 酔歩, 駈歩
0.0008616    2 extreme        : 神懸かる, 頻り
0.0008564    3 acclaim        : 称嘆, 褒め称える, 誉め称える
0.0008564    2 stop           : 頻々, 頻頻
0.0008468   10 base           : 陋劣, 下劣, 卑劣, 鄙劣, 穢い, 原末, 原紙, 原形, 小汚い, 小田巻
0.0008463    1 felt           : 羅紗
0.0008463    3 laudation      : 称嘆, 嘆称, 歎称
0.0008399    4 eight          : 歳破, 歳刑, 太歳, 小学
0.0008286    1 weal           : 休戚
0.0008284    1 physiotherapy  : 物療
0.0008261    4 face           : 蹙める, 懸け橋, 懸橋, 小顔
0.0008260    2 note           : 盤渉, 小為替
0.0008250    4 gravel         : 砂紋, 砂利道, 玉砂利, 砂利
0.0008183    1 pervert        : 淑女
0.0008167    6 tip            : 刀尖, 舌尖, 尖端, 剣尖, 小尻, 小菊
0.0008165    3 acting         : 婆娑羅, 濶歩, 闊歩
0.0008156    3 yellow         : 小茄子, 黄沙, 黄砂
0.0008144    6 annual         : 歳費, 歳入, 歳々, 歳歳, 歳計, 歳出
0.0008138   11 something      : 抄く, 口寂しい, 心劣り, 渉猟, 懸ける, 源流, 誓願, 願う, 祈願, つたい歩き, ...
0.0008124   11 wish           : 願いごと, 願い事, 心願, 所願, 願意, 悲願, 念願, 願う, 願, 願い, ...
0.0008050    1 roof           : 尖屋根
0.0008048    1 weighing       : 称量
0.0008002    1 chastity       : 貞淑
0.0007965    4 apex           : 尖部, 肺尖, 尖端, 舌尖
0.0007930    5 reflection     : 猛省, 反省, 内省, 省察, 自省
0.0007885    4 delicate       : 薄紗, 微妙, 小味, 小技
0.0007876    1 maximum        : 称量
0.0007870    1 Lysimachia     : 小茄子
0.0007852    3 nasty          : 陋劣, 腹穢い, 穢らわしい
0.0007834    1 bureaucrat     : 官僚
0.0007824    2 liquid         : 炒め煮, 懸ける
0.0007806    1 humorous       : 戯称
0.0007713    6 moment         : 分秒, 寸秒, 秒速, 弥々, 弥弥, 少し
0.0007668    5 root           : 源頭, 本源, 根源, 源, 根原
0.0007663    2 planet         : 大歳, 太歳
0.0007647    1 loosestrife    : 小茄子
0.0007634   10 term           : 戯称, 結願, 蔑称, 汎称, 泛称, 総称, 謙称, 小満, 小暑, 小寒
0.0007565    1 measuring      : 称量
0.0007562    6 garbage        : ごみ屑, ゴミ屑, 塵屑, 屑屋, 屑物, 屑
0.0007558    2 defeat         : 秒殺, 劣敗
0.0007525   10 request        : 願意, 願い下げる, 乞い願う, 請い願う, 願う, 願い出る, 願, 願い, 願書, 依願
0.0007524    5 red            : 娑婆, 蕃椒, 曼珠沙華, 小揚, 小揚げ
0.0007517    1 tourist        : 立県
0.0007512    1 feminine       : 貞淑
0.0007510    5 lady           : 淑女, 少女, 小歌, 小女, 小母
0.0007472    2 ancient        : 盤渉, 小学
0.0007451    1 fidelity       : 貞淑
0.0007451    1 modesty        : 貞淑
0.0007428    1 later          : 晩歳
0.0007425    1 sauce          : 炒め煮
0.0007375    2 housefather    : 寮監, 寮父
0.0007292    7 female         : 淑女, 少婢, 少女, 早少女, 小婢, 小娘, 小女
0.0007265   11 old            : 晩歳, 歳, 老少, 古称, 旧称, 少女, 小学, 小子, 小女, 小母, ...
0.0007134    4 junk           : ごみ屑, ゴミ屑, 塵屑, 屑物
0.0007126    1 flash          : 秒殺
0.0007076    6 vow            : 満願, 誓願, 大願, 結願, 本願, 悲願
0.0007041    1 wild           : 婆娑羅
0.0007008    1 welfare        : 休戚
0.0007004    4 foul           : 穢らわしい, 卑劣, 鄙劣, 穢い
0.0006957    2 free           : 娑婆, 施療
0.0006927    6 family         : 家督, 尖鼠, 源氏, 少子, 小者, 小走り
0.0006876    5 sword          : 刀尖, 剣尖, 切尖, 小太刀, 小刀
0.0006851    2 director       : 少領, 監督
0.0006809    1 officer        : 幕僚
0.0006801    3 nirvana        : 寂光, 入寂, 寂滅
0.0006788    2 sal            : 娑羅, 沙羅
0.0006788    2 Shorea         : 娑羅, 沙羅
0.0006710    1 bureaucracy    : 官僚
0.0006685    7 traditional    : 歳破, 歳刑, 太歳, 砂壁, 小学, 小唄, 小春
0.0006672    1 eggplant       : 小茄子
0.0006669    5 become         : 寂れる, 弥増す, 弥増さる, 尖がる, 尖る
0.0006616    1 act            : 神懸かる
0.0006528    4 department     : 本省, 省内, 省, 寮
0.0006506    1 associate      : 同僚
