Summary: {Weight} {token}: {words[0:10]}
0.0001302    1 reasonable     : 無理からぬ
0.0001300    4 nature         : 珠, 物理, 摂理, 玉
0.0001299    1 annulation     : 環状
0.0001295    3 physics        : 理学, 理化学, 物理
0.0001291    2 representation : 表現, 代理
0.0001289    1 lamina         : 葉理
0.0001287    3 book           : 珍本, 珍籍, 珍書
0.0001281    2 satin          : 朱珍, 繻珍
0.0001273    1 subsidiary     : 現法
0.0001271    5 rule           : 王道, 天理, 尊王, 掌理, 王政
0.0001268    3 materialization: 実現, 現れ, 現われ
0.0001264    2 globule        : 小球, 小玉
0.0001261    4 excellent      : 珠, 上玉, 玉章, 玉
0.0001259    2 account        : 売り玉, 建玉
0.0001252    2 testicle       : 珠, 玉
0.0001252    3 reveal         : 現ずる, 現す, 現わす
0.0001251    1 pagoda         : 宝珠
0.0001248    3 stone          : 宝珠, 生玉, 宝玉
0.0001246    1 exist          : 現在
0.0001234    3 left           : 王偏, 玉偏, 揚げ玉
0.0001233    1 circle         : 円環
0.0001230    2 talking        : 珍糞漢糞, 珍紛漢紛
0.0001228    2 droplet        : 珠, 玉
0.0001217    1 equivalent     : 現預金
0.0001216    3 scene          : 現認, 現場, 現地
0.0001208    1 spherule       : 小球
0.0001207    1 monocyclic     : 一環
0.0001193    1 olfactory      : 嗅球
0.0001192    2 irrationality  : 悖理, 背理
0.0001184    1 striae         : 脈理
0.0001184    1 cording        : 脈理
0.0001181    1 incident       : 珍事
0.0001179    2 philosophy     : 理学, 哲理
0.0001173    1 custard        : 苧環
0.0001173    1 columbine      : 苧環
0.0001173    1 Aquilegia      : 苧環
0.0001173    1 convection     : 環流
0.0001172    3 mathematics    : 理数, 理科, 数理
0.0001164    1 midget         : 豆球
0.0001158    2 treasure       : 珍宝, 珍貨
0.0001147    1 music          : 琴曲
