Summary: {Weight} {token}: {words[0:10]}
0.0003615    1 teeth          : 歯間
0.0003549    2 involved       : 関わりあう, 関わり合う
0.0003508    4 lack           : 闕失, 闕く, 間のび, 間延び
0.0003504    2 enlarged       : 覗き機関, 覗機関
0.0003473    4 point          : 関鍵, 関頭, 鬼門, 間際
0.0003466    1 firing         : 閑
0.0003395    1 gene           : 闕失
0.0003357    1 clinic         : 閉所
0.0003344    1 flair          : 閃き
0.0003334    1 social         : 自閉
0.0003319    6 half           : 迹門, 本門, 関東, 関西, 間中, 半開き
0.0003309    2 strenuous      : 奮闘, 健闘
0.0003279    3 mixed          : 関わりあう, 関わり合う, 間の子
0.0003265    2 sneak          : 闇討, 闇討ち
0.0003254    2 blockade       : 閉そく, 閉塞
0.0003252    2 mounted        : 覗き機関, 覗機関
0.0003249    2 competition    : 闘技, 闘い
0.0003237    2 surprise       : 闇討, 闇討ち
0.0003232    3 peep           : 覗き機関, 覗機関, 垣間見る
0.0003215    1 undulate       : 閃く
0.0003198    2 crime          : 関り合い, 関わり合い
0.0003194    2 display        : 閃かす, 開示
0.0003180    2 tussle         : 挌闘, 格闘
0.0003167    6 main           : 中門, 本門, 正門, 惣門, 総門, 山門
0.0003147    2 wage           : 闘う, 春闘
0.0003138    4 conversation   : 閑話, 閑談, 閑語, 間語
0.0003125    1 cockfight      : 闘鶏
0.0003125    1 bullfight      : 闘牛
0.0003125    1 bullfighting   : 闘牛
0.0003119    2 blockage       : 閉そく, 閉塞
0.0003106    2 dawn           : 暁闇, 開ける
0.0003100    2 confinement    : 閉門, 幽閉
0.0003078    3 anus           : 菊門, こう門, 肛門
0.0003069    2 cinema         : 閉館, 開館
0.0003065    1 mutation       : 闕失
0.0003055    1 loan           : 闇金
0.0003048    2 balmy          : 長閑, 長閑か
0.0003045    1 key            : 関鍵
0.0003024    2 theme          : 閉園, 開園
0.0003024    2 occlusion      : 閉そく, 閉塞
0.0003024    1 passing        : 閉眼
0.0003016    2 strife         : 闘争, 争闘
0.0003000    4 imperial       : 禁闕, 金闕, 御門, 門跡
0.0002994    1 waving         : 閃き
0.0002985    2 discontinuation: 閉山, 閉業
0.0002964    2 lens           : 覗き機関, 覗機関
0.0002951    2 slack          : 繁閑, 閑散
0.0002933    2 museum         : 閉館, 開館
0.0002926    1 marketeer      : 闇屋
0.0002910    2 incomplete     : 残闕, 半間
0.0002903    1 flicker        : 閃く
0.0002897    4 concern        : 関知, 関する, 関心, 関係
0.0002889    6 pupil          : 門弟, 門生, 門人, 門下, 破門, 入門
0.0002887    3 bureaucracy    : 霞が関, 霞ケ関, 霞ヶ関
0.0002879   11 moment         : 間髪, 関頭, つかの間, 束の間, すき間, 透き間, 隙き間, 隙間, 瞬間, 合い間, ...
0.0002876    3 critical       : 関頭, 関ケ原, 関ヶ原
0.0002874    5 leave          : 閑, 開ける, 開けはなつ, 開け放つ, 開け放す
0.0002869    1 maritime       : 海関
0.0002859    1 confined       : 閉所
0.0002847    1 schiller       : 閃光
0.0002835    2 grappling      : 挌闘, 格闘
0.0002795    2 blocking       : 閉そく, 閉塞
0.0002772    2 struggling     : 挌闘, 格闘
0.0002751    1 autism         : 自閉
0.0002751    1 schizophrenia  : 自閉
0.0002749    1 sparkle        : 閃く
0.0002745    1 leisured       : 有閑
0.0002739    1 dogfight       : 闘犬
0.0002703    1 flutter        : 閃く
0.0002672    3 court          : 諒闇, 閉廷, 開廷
0.0002670    1 haphazard      : 闇雲
0.0002664    1 glitter        : 閃く
0.0002664    1 gleam          : 閃く
0.0002649    3 labor          : 闘争, 春闘, 手間
0.0002618    2 linkage        : 聯関, 連関
0.0002614    2 hospital       : 閉院, 開院
0.0002610    3 view           : 覗き機関, 覗機関, 獄門
0.0002600    2 grapple        : 挌闘, 格闘
0.0002588    1 brawling       : 乱闘
0.0002582    1 wit            : 閃き
0.0002578    2 hurdle         : 関門, 難関
0.0002554    1 inspiration    : 閃き
0.0002538    5 follower       : 門弟, 門生, 門人, 門徒, 門下
0.0002513    1 bull           : 闘牛
0.0002484    4 spring         : 春闘, 開湯, 間服, 間着
0.0002482    1 blank          : 闕字
0.0002457    1 cock           : 闘鶏
