Summary: {Weight} {token}: {words[0:10]}
0.0006369    8 camp           : 陣幕, 陣営, 敵陣, 軍陣, 着陣, 陣内, 陣中, 陣
0.0006314    5 keep           : 阻む, 附ける, ひた隠し, 直隠し, 包み隠す
0.0006301    1 elevation      : 隆起
0.0006301    1 protrusion     : 隆起
0.0006294    2 quality        : 阿膠, 階
0.0006272    3 stone          : 碑陰, 石階, 附け
0.0006265    2 lock           : 陸閘, 解除
0.0006223    3 reserve        : 隔心, 隔意, 後陣
0.0006219    3 decline        : 隆替, 斜陽, 下降
0.0006195    1 litany         : 陀羅尼
0.0006182    2 sweet          : 迦陵頻伽, 迦陵頻迦
0.0006169    5 evil           : 陋習, 魔除け, 厄除, 厄除け, 駆除
0.0006156    1 source         : 阿字
0.0006156   10 defence        : 陳弁, 海防, 防備, 防空, 防御, 防禦, 防衛, 防ぎ, 国防, 攻防
0.0006155    1 height         : 階高
0.0006155    4 stop           : 阻む, 限, 限り, 降り止む
0.0006136   10 defense        : 陳弁, 海防, 防備, 防空, 防御, 防禦, 防衛, 防ぎ, 国防, 攻防
0.0006122    2 bird           : 迦陵頻伽, 迦陵頻迦
0.0006110    8 party          : 随員, 部隊, 隊, 陣営, 一隊, 陣笠, 陣, 隠し芸
0.0006103    1 Buddhism       : 阿字
0.0006088    1 bulge          : 隆起
0.0006082    1 focus          : 球際
0.0006074    4 ball           : 球際, 隠しだま, 隠し玉, 隠し球
0.0006068    2 diaphragm      : 隔膜, 隔壁
0.0006066    2 beautiful      : 迦陵頻伽, 迦陵頻迦
0.0006057    3 chink          : 隙き間, 隙間, 隙
0.0006034    1 mortal         : 陵雲
0.0006009    4 squad          : 分隊, 部隊, 隊, 一隊
0.0005983    3 note           : 階名, 附箋, 附記
0.0005978    5 hinder         : 阻む, 障む, さし障る, 差し障る, 障る
0.0005974    6 plant          : 陳, 防除, 附ける, 陸稲, 隠れみの, 隠れ蓑
0.0005971    2 boundless      : 限りない, 限り無い
0.0005943    2 letter         : 阿字, 附け
0.0005923    1 projection     : 隆起
0.0005894    1 swell          : 隆起
0.0005894    4 subsidence     : 陥落, 陥没, 沈降, 下降
