Summary: {Weight} {token}: {words[0:10]}
0.0555556    1 notwithstanding: 雖も
0.0003402    3 intricate      : 煩雑, 繁雑, 複雑
0.0003387    6 trouble        : 難航, 難儀, 女難, 困難, 難, 難き
0.0003351    1 extensive      : 博雅
0.0003346    2 isolated       : 離山, 離島
0.0003338    2 affliction     : 患難, 難儀
0.0003332    4 let            : 手離す, 取り離す, 取離す, 子離れ
0.0003315    1 figure         : 雄姿
0.0003309    3 particular     : 単離, 気難しい, 難しい
0.0003295    1 avadavat       : 紅雀
0.0003287    6 distant        : 離れる, かけ離れる, 懸け離れる, 懸離れる, 掛け離れる, 掛離れる
0.0003285    1 classic        : 典雅
0.0003280   17 gather         : 群れ集まる, 寄り集まる, よせ集める, 寄せ集める, 取り集める, 取集める, 集く, 狩り集める, 駆り集める, 駆集める, ...
0.0003272    1 neck           : 雁首
0.0003248    1 expression     : 雅語
0.0003235    1 easy           : 優雅
0.0003230    2 disaffection   : 離反, 離叛
0.0003175    1 influential    : 雄藩
0.0003158    1 firing         : 解雇
0.0003151    6 truth          : 集諦, かけ離れる, 懸け離れる, 懸離れる, 掛け離れる, 掛離れる
0.0003149    2 cock           : 雄鳥, 雄鶏
0.0003148    1 gallant        : 雄壮
0.0003136    4 problem        : 難物, 難しい, 難問, 難題
0.0003123    1 eloquence      : 雄弁
0.0003077    1 huddle         : 雑魚寝
0.0003069    1 appearance     : 雄姿
0.0003055    1 discharge      : 解雇
0.0003055    1 lofty          : 雄志
0.0003053    1 helicopter     : 離昇
0.0003045    2 dangerous      : 嶮難, 険難
0.0003018    3 odd            : 雑味, 雑役, 雑用
0.0003013    1 breeding       : 種雄
0.0002980    3 register       : 離籍, 久離, 旧離
0.0002980    3 removal        : 離籍, 久離, 旧離
0.0002970    1 article        : 雑観
0.0002967    3 please         : 難物, 気難しい, 難しい
0.0002932    1 Vespa          : 雀蜂
0.0002928    3 formation      : 雁木, 雁行, 密集
0.0002888    1 high           : 雅味
0.0002885    2 landing        : 離発着, 離着陸
0.0002878    3 complex        : 煩雑, 繁雑, 複雑
0.0002846    2 defection      : 離反, 離叛
0.0002841    3 messy          : 猥雑, 雑然, 雑
0.0002835    1 peafowl        : 孔雀
0.0002835    1 peachick       : 孔雀
0.0002835    1 peahen         : 孔雀
0.0002824    1 Cytisus        : 金雀児
0.0002824    1 scoparius      : 金雀児
0.0002824    1 Scotch         : 金雀児
0.0002822    1 finch          : 紅雀
0.0002798    1 making         : 離活
0.0002793    3 misfortune     : 厄難, 小難, 災難
0.0002782    1 clan           : 雄藩
0.0002772    1 domain         : 雄藩
0.0002753    2 cumbersome     : 煩雑, 繁雑
0.0002749    1 varied         : 山雀
0.0002736    1 feudal         : 雄藩
0.0002734    1 role           : 難役
0.0002730    1 overpowering   : 雄視
0.0002704    2 coarse         : 雑い, 粗雑
0.0002687    2 roar           : 雄たけび, 雄叫び
0.0002686    2 soy            : 落雁, 雑炊
0.0002683    2 flying         : 孤雁, 雁行
0.0002680    2 desertion      : 離反, 離叛
0.0002679    3 exfoliation    : はく離, 剝離, 剥離
0.0002676    1 ringleader     : 梟雄
0.0002665    4 suffering      : 難渋, 難儀, 苦難, 集諦
0.0002662    2 independent    : 巣離れ, 離れ
0.0002660    1 peacock        : 孔雀
0.0002656    1 diaeresis      : 離断
0.0002650    1 strawberry     : 紅雀
0.0002609    1 seven          : 朱雀
0.0002603    1 fritter        : 雁擬き
0.0002600    1 confection     : 落雁
0.0002594    1 elongation     : 離角
0.0002593    1 good           : 雅致
0.0002589    1 damselfish     : 雀鯛
0.0002589    7 throng         : 雑沓, 雑踏, 雑鬧, 人集り, 人集め, 雲集, 蝟集
0.0002585    1 project        : 雄図
0.0002580    3 something      : 雁首, 難民, 集る
0.0002553    6 way            : 金離れ, かけ離れる, 懸け離れる, 懸離れる, 掛け離れる, 掛離れる
0.0002552    3 censure        : 論難, 批難, 非難
0.0002545    1 men            : 両雄
0.0002542    1 obscurity      : 雌伏
0.0002540    1 standard       : 雑節
0.0002513    2 vexatious      : 煩雑, 繁雑
0.0002512    2 stunt          : 離れ技, 離れ業
0.0002504    1 formidable     : 難敵
0.0002500    4 congestion     : 雑沓, 雑踏, 雑鬧, 混雑
0.0002492    1 accomplished   : 梟雄
0.0002484    2 incurable      : 難症, 難病
0.0002483    2 pull           : 引き離す, 引離す
0.0002479    3 peeling        : はく離, 剝離, 剥離
0.0002472    2 cry            : 雄たけび, 雄叫び
