Summary: {Weight} {token}: {words[0:10]}
0.0006250    6 lift           : 捲り上げる, 抱きおろす, 抱き下ろす, 抱き起こす, 抱き起す, 抱え上げる
0.0006226    1 waiting        : 待ち倦む
0.0006212    1 cyst           : 嚢胞
0.0006185    1 activity       : 已める
0.0006173    3 animal         : 空胞, 毛艶, 縫い包み
0.0006169    9 mourning       : 服忌, 忌服, 忌引, 忌引き, 忌中, 忌み明け, 忌明け, 忌, 忌み
0.0006166    1 fork           : 巷
0.0006166    1 quarters       : 巷
0.0006146   22 book           : 紀伊國屋, 上下巻, 中巻, 上巻, 巻尾, 合巻, 次巻, 開巻, 書き起こす, 書き起す, ...
0.0006120    2 tedium         : 倦怠, 飽き
0.0006114    2 involucre      : 総苞, 総包
0.0006114    2 involucrum     : 総苞, 総包
0.0006100    3 fill           : 倦きる, 飽食, 飽きる
0.0006061    2 sea            : 咆える, 水色
0.0005996    1 hereditary     : 忌寸
0.0005909    8 work           : 書紀, 紀, 大雑把, 忌引, 忌引き, 絶品, 絶筆, 起工
0.0005898    7 reform         : 改暦, 改良, 改廃, 改心, 改悟, 改革, 改める
0.0005889    8 wrapping       : 根巻き, 包み紙, 包紙, 包構え, 包装, 簀巻, 簀巻き, 一巻
0.0005870    1 tied           : 熨斗鮑
0.0005868    4 scene          : 巷, 夜色, 暮色, 景色
0.0005846    1 underlining    : 圏点
0.0005839    3 whirlpool      : 泡風呂, 渦巻, 渦巻き
0.0005837    1 divide         : 巷
0.0005836    2 loss           : 攻め倦む, 色落ち
0.0005797    1 alveoli        : 肺胞
0.0005743    1 luminous       : 配光
0.0005726    2 boredom        : 倦怠, 飽き
0.0005718    6 former         : 肥州, 紀伊, 紀, 改め, 肥前, 肥後
0.0005718    1 confused       : 卍巴
0.0005711   23 rise           : 捲き起こす, 捲き起す, 巻き起こす, 巻き起す, 巻起こす, 巻起す, 起き返る, まき起こす, 隆起, 誘起, ...
0.0005679    5 second         : 書紀, 紀, 中巻, 下巻, 上下巻
0.0005670    1 radar          : 圏外
0.0005643    1 location       : 巷
0.0005638    2 satiation      : 飽和, 飽食
0.0005594    5 beautiful      : 艶美, 幽艶, 豊艶, 凄艶, 優艶
0.0005551    4 district       : 巷, 色里, 色町, 色街
0.0005550   12 arise          : 捲き起こる, 巻き起こる, 巻き起る, 巻起こる, わき起こる, 沸き起こる, 沸き起る, 涌き起こる, 涌き起る, 湧き起こる, ...
0.0005531    1 mass           : 卍巴
0.0005529    2 calendar       : 改暦, 巳
0.0005518    2 outside        : 圏外, 捲り
0.0005499    1 foregoing      : 已上
0.0005482    1 intensity      : 配光
0.0005482    1 eight          : 忌寸
0.0005471    2 bract          : 苞葉, 包葉
0.0005452    9 life           : 巷, 伝記, 絶命, 起き伏し, 起き臥し, 起臥, ばら色, バラ色, 薔薇色
0.0005439    1 alveolus       : 肺胞
0.0005405    1 highest        : 忌寸
