Summary: {Weight} {token}: {words[0:10]}
0.0003134    4 opera          : 京劇, 楽劇, 歌劇, 戯曲
0.0003124    1 eye            : 虎豆
0.0003117    2 angry          : 叱声, 切れる
0.0003112    1 news           : 虚報
0.0003109    1 toxic          : 劇物
0.0003104    1 complex        : 虚部
0.0003103    2 holding        : 虎箱, 遠慮
0.0003097    1 strain         : 濾す
0.0003096    2 hunt           : 虎狩, 虎狩り
0.0003092    3 earth          : 地膚, 切土, 切り崩す
0.0003085    5 delivery       : 宅送, 宅扱い, 宅配, 切り, 切
0.0003064    5 sharp          : 劇臭, 劇痛, 急劇, 切れ者, 切れる
0.0003060    4 July           : 七夕祭, 七夕祭り, 七月, 七夕
0.0003050    3 consider       : 熟慮, 慮る, 切り放つ
0.0003019    2 type           : 膚, 結び切り
0.0003011    1 thoughtlessness: 浅慮
0.0003008    3 scold          : 叱りつける, 叱り付ける, 叱る
0.0002995    1 broker         : 宅建
0.0002980    2 committee      : 付託, 附託
0.0002964    2 entrust        : 託する, 託す
0.0002892    3 strong         : 劇臭, 劇しい, 劇薬
0.0002887    1 term           : 戯称
0.0002881    4 responsibility : 負託, 仕切る, 仕切, 仕切り
0.0002880    3 natural        : 地膚, 切り金, 切金
0.0002865    2 consignment    : 託送, 委託
0.0002856    1 cruelty        : 虐待
0.0002855    1 rashness       : 短慮
0.0002844    3 sky            : 大虚, 太虚, 虚空
0.0002829    1 indiscretion   : 浅慮
0.0002826    1 midway         : 途切らす
0.0002821    1 bear           : 虎挟み
0.0002792    1 smell          : 劇臭
0.0002781    2 deliver        : 託する, 託す
0.0002750    3 void           : 虚しい, 空虚, 虚ろ
0.0002737    1 massacre       : 虐殺
0.0002729    9 hard           : 虐使, 劇務, 切瑳, 切磋, 切りこむ, 切り込む, 切込む, 思いっ切り, 思い切り
0.0002727    1 registered     : 宅建
0.0002721   12 land           : 宅造, 宅地, 間切, 切り起こす, 間切り, 切り払う, 切払う, 切り墾く, 切り拓く, 切り開く, ...
0.0002720    4 ground         : 地膚, 切り畑, 切畑, 切点
0.0002719    2 drunk          : 虎箱, 虎
