Summary: {Weight} {token}: {words[0:10]}
0.0004756    4 tree           : 戸走り, ノ木偏, 禾偏, 木偏
0.0004754    1 glance         : 一顧
0.0004744    1 condoling      : 涙雨
0.0004720    2 crooked        : 捩じれる, 捩れる
0.0004690    6 woman          : 肩巾, 女偏, 行き戻り, 女房, 出戻り, 閨房
0.0004660    4 argument       : 偏角, 捩じ伏せる, 捩伏せる, 捉え所
0.0004660    5 top            : 肩先, 編みあげる, 編み上げる, 編上げる, 肩口
0.0004637    6 restore        : 戻す, 引き戻す, 引戻す, とり戻す, 取り戻す, 取戻す
0.0004597    6 hand           : 肩すかし, 肩透かし, 手偏, 懐炉, 戻す, 手編み
0.0004573    1 basket         : 編み籠
0.0004558    3 shawl          : 肩巾, 肩掛, 肩掛け
0.0004553    2 declination    : 偏角, 偏差
0.0004540    1 dug            : 地炉
0.0004539    4 make           : 捩る, 捩じ伏せる, 捩伏せる, 見せ所
0.0004510    1 four           : 四顧
0.0004507    1 custom         : 愛顧
0.0004493    6 right          : 右房, 右肩, 偏旁, 適所, 捨て所, 出所
0.0004478    2 blood          : 紅涙, 血涙
0.0004460    2 plait          : 三つ編み, 編む
0.0004459    1 pretend        : 騙る
0.0004449    3 lace           : 編みあげる, 編み上げる, 編上げる
0.0004424    2 strained       : 捩じれる, 捩れる
0.0004404    3 screw          : 捩じる, 捩じ込む, 捩子
0.0004400    1 highest        : 肩山
0.0004379    5 burden         : 肩がわり, 肩代り, 肩代わり, 肩替り, 肩替わり
0.0004376    1 assume         : 騙る
0.0004318    2 principal      : 正篇, 正編
0.0004315    2 goods          : 水戻し, 波戸
0.0004315    1 deceiving      : 騙し
0.0004305    2 complicated    : 捩じれる, 捩れる
0.0004301    2 Belamcanda     : 桧扇, 檜扇
0.0004263    2 register       : 編製, 戸籍
0.0004227    5 debt           : 肩がわり, 肩代り, 肩代わり, 肩替り, 肩替わり
0.0004214    3 unit           : 新篇, 新編, 住戸
0.0004209    1 Chiroptera     : 蝙蝠
0.0004192    4 bias           : 偏執, 偏見, 偏倚, 偏り
0.0004185    5 child          : 肩あげ, 肩上げ, 肩揚, 肩揚げ, 所生
0.0004180    2 screen         : 網戸, 簾戸
0.0004178    3 insect         : 戸走り, 虫偏, 網戸
0.0004163    2 edition        : 新篇, 新編
0.0004145    1 oven           : 電炉
0.0004100    1 turncoat       : 蝙蝠
0.0004100    1 rotary         : 転炉
0.0004079    2 cinema         : 本篇, 本編
0.0004053    2 thought        : 一顧, 所存
0.0004047    1 strength       : 地肩
0.0004043    2 blackberry     : 桧扇, 檜扇
0.0004037    2 s              : 本篇, 本編
0.0004016    1 opportunist    : 蝙蝠
0.0003986    2 great          : 神楽蝙蝠, 力編
0.0003938    2 money          : 涙金, 組み戻し
0.0003928    1 soothe         : 騙す
0.0003928    1 coax           : 騙す
0.0003928    1 wheedle        : 騙す
0.0003927    2 voice          : 声涙, 涙声
0.0003927    2 braid          : 三つ編み, 編む
0.0003890    1 permanent      : 常雇い
0.0003881    1 shift          : 偏移
0.0003878    1 charter        : 雇う
0.0003857    1 refining       : 転炉
0.0003843    1 fooling        : 騙し
0.0003834    2 distorted      : 捩じ曲がる, 偏見
0.0003832    2 writing        : 篇章, 編章
0.0003814    1 converter      : 転炉
0.0003813    2 slapstick      : 張り扇, 張扇
0.0003809    1 clothing       : 肩山
0.0003804    2 burner         : 香炉, 焜炉
0.0003760    1 container      : 肩衝
