Summary: {Weight} {token}: {words[0:10]}
0.0007446   39 run            : 駆けずり回る, 区営, 駆け下りる, 駆け降りる, 駆け戻る, 駆け下る, 駆けぬける, 駆け抜ける, 駆けだす, 駆け出す, ...
0.0007445    1 transhumance   : 移牧
0.0007433    5 frame          : 躯体, 巨躯, 枢, 躯, 図体
0.0007432    2 meat           : 禽, 胸肉
0.0007411    2 woven          : 籬垣, 籬
0.0007401    2 fowl           : 禽, 家禽
0.0007400   18 historical     : 史眼, 書史, 史論, 史料, 故事, 秘史, 史談, 史籍, 史詩, 史劇, ...
0.0007391    2 arrogance      : 驕傲, 傲り
0.0007330    3 beating        : 攪拌, 鞭打ち, 殴殺
0.0007330    6 young          : 嫩葉, 牧童, 硬派, 放流, 下放, 幼気
0.0007320    1 quiver         : 靱
0.0007269    1 bekko          : 鼈甲
0.0007262   10 japonica       : 篦, 藪茗荷, 虎杖, 金蚊, 藪椿, 藪枯らし, 刈萱, 刈草, 道教, 道教え
0.0007255    2 delicacy       : 佳肴, 嘉肴
0.0007237    1 autocracy      : 専政
0.0007230    3 student        : 學生, 教え子, 教生
0.0007224    3 fence          : 籬垣, 籬, 斎垣
0.0007193    4 restoration    : 甦生, 敷引, 敷引き, 更生
0.0007166    3 arrow          : 篦, 矢文, 放つ
0.0007154   12 system         : 大學, 刀禰, 幣制, 中枢, 改暦, 郵政, 史生, 政体, 吏吐, 吏読, ...
0.0007153    1 alcoholic      : 酒肴
0.0007145    2 insolent       : 倨傲, 傲慢
0.0007106    5 hesitant       : 吝か, 気おくれ, 気後れ, 気がね, 気兼ね
0.0007101    1 roof           : 廠舎
0.0007044    2 steep          : 危巌, 激しい
0.0007017    1 shaky          : 覺束ない
0.0006998    4 pitiable       : 憫然, 不憫, 憫れ, 不便
0.0006991    1 stalk          : 花梗
0.0006974    4 depression     : 気欝, 憂欝, 欝, 気鬱
0.0006935    3 disorder       : 紊乱, 紊れ, 散らかる
0.0006932   15 religious      : 斎行, 救済, 教母, 救い, 斎主, 改宗, 立教, 潔斎, 宣教, 宗教, ...
0.0006931   23 bad            : 弊習, 凶星, 悪弊, 凶年, 弊, 凶, 凶相, 大凶, 凶報, 吉凶, ...
0.0006928    1 claw           : 攀じ登る
0.0006893    1 astrology      : 斎日
0.0006878    5 building       : 軒丈, 躯体, 増改築, 改築, 離れ家
0.0006849   23 go             : 拉致る, 邀える, 敗着, 攻め合い, 碁敵, 対う, 手離す, 手放す, 対局, 野放し, ...
0.0006816    4 compassion     : 憐憫, 憫察, 憫れみ, 憫れ
